gruppe,navn,pnu,addr,raw,værdi,status,område
Føler,S1 ude rå,10201,10200,2059,20.59 °C,ok,-60 … 150 °C
Føler,S2 rum rå,10202,10201,19200,åben,åben,-60 … 150 °C
Føler,S3 frem varme rå,10203,10202,2570,25.70 °C,ok,-60 … 150 °C
Føler,S4 frem/beholder VV rå,10204,10203,5060,50.60 °C,ok,-60 … 150 °C
Føler,S5 retur varme rå,10205,10204,19200,åben,åben,-60 … 150 °C
Føler,S6 retur VV rå,10206,10205,19200,åben,åben,-60 … 150 °C
Føler,S7 rå,10207,10206,0,0.00 °C,ok,-60 … 150 °C
Føler,S8 rå,10208,10207,1,0.01 °C,ok,-60 … 150 °C
Føler,S9 rå,10209,10208,19200,åben,åben,-60 … 150 °C
Føler,S10 rå,10210,10209,19200,åben,åben,-60 … 150 °C
Føler,S1 kredsvisning,11201,11200,2059,20.59 °C,ok,-60 … 150 °C
Føler,S2 kredsvisning,11202,11201,19200,åben,åben,-60 … 150 °C
Føler,S3 kredsvisning,11203,11202,,n/a,findes ikke,-60 … 150 °C
Føler,S4 kredsvisning,11204,11203,,n/a,findes ikke,-60 … 150 °C
Føler,S5 kredsvisning,11205,11204,,n/a,findes ikke,-60 … 150 °C
Føler,S6 kredsvisning,11206,11205,,n/a,findes ikke,-60 … 150 °C
Føler,S3 ønsket frem,11253,11252,1000,10.00 °C,ok,0 … 150 °C
Føler,S4 ønsket frem,11254,11253,,n/a,findes ikke,0 … 150 °C
Udgang,ECA32 AO1 status %,4016,4015,359,35.9 %,ok,0 … 100 %
Udgang,ECA32 AO2 status %,4017,4016,0,0.0 %,ok,0 … 100 %
Udgang,ECA32 AO3 status %,4018,4017,0,0.0 %,ok,0 … 100 %
Udgang,Triac 1,4000,3999,0,OFF,ok,OFF | ON
Udgang,Triac 2,4001,4000,0,OFF,ok,OFF | ON
Udgang,Triac 3,4002,4001,0,OFF,ok,OFF | ON
Udgang,Triac 4,4003,4002,1,ON,ok,OFF | ON
Udgang,Relæ 1,4006,4005,1,ON,ok,OFF | ON
Udgang,Relæ 2,4007,4006,0,OFF,ok,OFF | ON
Udgang,Relæ 3,4008,4007,0,OFF,ok,OFF | ON
Udgang,Relæ 4,4009,4008,0,OFF,ok,OFF | ON
Udgang,Digital udgang bitmaske 3998,3998,3997,0,0,,
Udgang,Digital udgang bitmaske 3999,3999,3998,72,72,,
Drift,Mode kreds 1,4201,4200,1,1,,
Drift,Mode kreds 2,4202,4201,2,2,,
Drift,Status kreds 1,4211,4210,2,2,,
Drift,Status kreds 2,4212,4211,2,2,,
System,Modbus-adresse,38,37,1,1,ok,1 … 247
System,Softwareversion,35,34,557,557,,
System,Hardware-revision,34,33,18692,18692,,
Gulvtørring,Programafvikling,10512,10511,0,OFF,ok,OFF | ON
Gulvtørring,Maks. pwr. fejl,10514,10513,30,30 min,ok,5 … 3000 min
Gulvtørring,Rampe X5-X6,10903,10902,5,5,ok,OFF 1 … 20
Gulvtørring,Rampe X7-X8,10904,10903,5,5,ok,OFF 1 … 20
Gulvtørring,Appl. fortsat,10912,10911,0,OFF,ok,OFF | ON
Gulvtørring,Efter strømsvigt,10913,10912,0,STOP,ok,STOP | START
Gulvtørring,X1,10930,10929,0,0 h,ok,0 … 1200 h
Gulvtørring,X2,10931,10930,0,0 h,ok,0 … 1200 h
Gulvtørring,X3,10932,10931,0,0 h,ok,0 … 1200 h
Gulvtørring,X4,10933,10932,0,0 h,ok,0 … 1200 h
Gulvtørring,X5,10934,10933,0,0 h,ok,0 … 1200 h
Gulvtørring,X6,10935,10934,360,360 h,ok,0 … 1200 h
Gulvtørring,X7,10936,10935,720,720 h,ok,0 … 1200 h
Gulvtørring,X8,10937,10936,1080,1080 h,ok,0 … 1200 h
Varme,Ønsket T,11004,11003,50,50 °C,ok,5 … 150 °C
Varme,ECA-adresse,11010,11009,0,OFF,ok,OFF | A | B
